,entity_cluster,n_mentions,unique_entities,mean_sentiment,median_sentiment
5,cluster_13,1,['좋아하는 고추바사삭'],5.0,5.0
13,cluster_8,1,['쉐프와 협업했다는'],5.0,5.0
14,cluster_9,1,['현대시장'],4.0,4.0
4,cluster_12,2,"['비비큐에서', '비비큐에서 맵소디']",3.0,3.0
11,cluster_6,14,"['교촌치킨에서', '노랑통닭은', '노랑통닭은 순살도', '노랑통닭은 순살도 가격이', '닭강정 사는걸', '닭강정 사는걸 깜빡했다', '양념통닭에서', '양념통닭에서 마라치킨', '처가집', '처가집 양념통닭에서', '처가집 양념통닭에서 마라치킨', '푸라닭에서', '푸라닭에서 유명 쉐프와', '한동안 집앞 자담치킨']",2.357142857142857,2.0
7,cluster_2,98,"['가격이 더 비싸지', '가는데 기사가', '가는데 기사가 핸드폰을', '간만에 접속해', '간장만 먹으면', '간장만 먹으면 심심하고', '감흥이 덜하다', '갔다가 얼떨결에 비급여', '거무죽죽하니 신선도 관리를', '검색하려고 카카오맵을 켰더니', '결재하고 며칠뒤 배송을', '광고부터 나온다', '구경하고 돌아가는', '굽네치킨에서 유일하게', '굽네치킨에서 유일하게 좋아하는', '귀한족발에서 족발 배달시켰는데', '기다리는데 정거장에', '기사가 핸드폰을 보면서', '기억한다', '느껴진건 기억한다', '니자도 발뒤꿈치가', '대부분 거무죽죽하니 신선도', '땡겨요에서 세일하길래', '땡겨요에서 할인을', '마트에서', '마트에서 풀무원', '마트에서 풀무원 감자전/오징어부추전', '막국수 반찬까지 있는건', '많이도 포장해 먹었다', '맞은데를 피해서', '맵소디', '먹었는데 감흥이 덜하다', '먹으면', '먹으면 심심하고 레드만', '멕시칸 치킨 할인한다기에', '며칠뒤 배송을 기다리는데', '며칠이 니자도', '며칠이 니자도 발뒤꿈치가', '명성왕족발에서', '민생지원금으로', '민생지원금으로 성남 할머니', '바나나 세일을 하는데', '반찬까지 있는건 좋지만', '발가락이 아파서', '발뒤꿈치가 아파 미금역', '발뒤꿈치가 아파 정형외과를', '배달시켰는데 막국수 반찬까지', '보면서 운전한다', '사는걸 깜빡했다', '설치해야 이용할수 있다고', '세일을 하는데 대부분', '세일한다기에', '속초에서 시장 구경하고', '순살도 가격이', '쉐프와 협업했다는 깐풍치킨', '시키고 하나만 받으러', '신호를 놓치지 않으려는지', '쏘마치를 주문하려니', '아파서 동네 정형외과', '안된다', '언제부터인가', '얼떨결에 비급여', '영업을 하지 않는다', '예전에 땡겨요에서', '예전에 땡겨요에서 세일하길래', '유일하게 좋아하는', '유일하게 좋아하는 고추바사삭', '이마트', '자담치킨 참 많이도', '접속이', '접속이 안된다', '접속해 보니 티머니매니저를', '정형외과 갔다가 얼떨결에', '정형외과를 찾는데', '정형외과를 찾는데 저번에', '정형외과를 찾아갔다', '족발맛이 아쉽다', '족발에서', '좌회전 신호를 놓치지', '주문가가 가장 저렴해', '주문하려했더니 미금점 영업을', '주문했더니 배달에', '주문했더니 배달에 한시간', '찾는데 저번에', '치약이었다', '카카오맵을 켰더니 광고부터', '켰더니 광고부터 나온다', '티머니매니저를 추가 설치해야', '포장해 먹었다', '풀무원', '풀무원 감자전/오징어부추전', '하나만 받으러 오라고', '하는데 대부분 거무죽죽하니', '한셋트 치약이었다', '할인한다기에 주문하려했더니 미금점', '핸드폰을 보면서 운전한다', '현대시장 명성왕족발에서', '협업했다는 깐풍치킨']",2.1530612244897958,2.0
0,cluster_0,2,"['모바일 티머니', '홈플러스 앱으로']",1.5,1.5
1,cluster_1,2,"['bhc', '한셋트']",1.5,1.5
10,cluster_5,4,"['급하게 버스 검색하려고', '놓치지 않으려는지 버스들이', '버스를 기다리는데', '버스를 기다리는데 정거장에']",1.25,1.0
2,cluster_10,2,"['할머니', '할머니 족발에서']",1.0,1.0
3,cluster_11,1,['하나은행'],1.0,1.0
6,cluster_14,2,"['도서관', '도서관 근처에서']",1.0,1.0
8,cluster_3,2,"['bhc 서현시범단지점', '서현시범단지점']",1.0,1.0
9,cluster_4,2,"['사거리에는 좌회전 신호를', '이마트앞 사거리에는 좌회전']",1.0,1.0
12,cluster_7,1,['배달앱에서 멕시칸'],1.0,1.0
